enterprise_id,month,income,expenses,net_cash_flow,savings_balance,has_loan,emi_due,repayment_status,upi_inflow_txn_count,upi_inflow_txn_volume,data_complete,field_investigator_id,upi_outflow_txn_count,upi_outflow_txn_volume,loan_repayment_collected_upi,month_index,name,sector,district,place,vintage_years,digital_adoption,upi_adoption_start_month,loan_taken_in_dataset,loan_amount,loan_tenure_months,loan_start_month_offset,rainfall_index,milk_price_index,poultry_feed_price_index,raw_material_price_index,retail_demand_index,local_disruption
GJAH081919,2024-08-01,23490.0,13084.15,10405.84,5706.13,False,0.0,no_loan,1,436.6,True,FI001,0,0.0,0.0,0,Hitesh Chauhan Snacks Udyog,food_processing,Ahmedabad,Ahmedabad,7.7,0.54,9,False,0.0,0,0,37.5,99.4,103.1,103.3,98.4,False
GJAH081919,2024-09-01,22915.11,12640.57,10274.55,5187.75,False,0.0,no_loan,1,390.09,True,FI001,0,0.0,0.0,1,Hitesh Chauhan Snacks Udyog,food_processing,Ahmedabad,Ahmedabad,7.7,0.54,9,False,0.0,0,0,50.7,102.2,100.3,103.4,98.7,False
GJAH081919,2024-10-01,24049.21,13994.15,10055.05,3697.82,False,0.0,no_loan,1,513.6,True,FI001,0,0.0,0.0,2,Hitesh Chauhan Snacks Udyog,food_processing,Ahmedabad,Ahmedabad,7.7,0.54,9,False,0.0,0,0,64.9,106.4,102.1,102.8,101.3,False
GJAH081919,2024-11-01,27680.32,14724.01,12956.31,5175.9,False,0.0,no_loan,1,508.65,True,FI001,0,0.0,0.0,3,Hitesh Chauhan Snacks Udyog,food_processing,Ahmedabad,Ahmedabad,7.7,0.54,9,False,0.0,0,0,97.3,105.5,100.2,103.3,101.9,False
GJAH081919,2024-12-01,27705.01,15115.9,12589.12,6443.78,False,0.0,no_loan,1,605.36,True,FI001,0,0.0,0.0,4,Hitesh Chauhan Snacks Udyog,food_processing,Ahmedabad,Ahmedabad,7.7,0.54,9,False,0.0,0,0,134.2,99.7,99.5,99.7,96.7,False
GJAH081919,2025-01-01,21656.74,11371.49,10285.25,7772.56,False,0.0,no_loan,1,406.47,True,FI001,0,0.0,0.0,5,Hitesh Chauhan Snacks Udyog,food_processing,Ahmedabad,Ahmedabad,7.7,0.54,9,False,0.0,0,0,133.8,101.2,100.2,102.5,99.7,False
GJAH081919,2025-02-01,22291.31,12501.76,9789.56,9099.59,False,0.0,no_loan,1,485.62,True,FI001,0,0.0,0.0,6,Hitesh Chauhan Snacks Udyog,food_processing,Ahmedabad,Ahmedabad,7.7,0.54,9,False,0.0,0,0,158.5,102.3,120.7,104.1,102.7,False
GJAH081919,2025-03-01,22808.39,12628.09,10180.3,10370.57,False,0.0,no_loan,1,446.57,True,FI001,0,0.0,0.0,7,Hitesh Chauhan Snacks Udyog,food_processing,Ahmedabad,Ahmedabad,7.7,0.54,9,False,0.0,0,0,149.5,100.6,124.6,102.0,101.4,False
GJAH081919,2025-04-01,24435.93,13290.32,11145.61,12524.87,False,0.0,no_loan,1,555.37,True,FI001,0,0.0,0.0,8,Hitesh Chauhan Snacks Udyog,food_processing,Ahmedabad,Ahmedabad,7.7,0.54,9,False,0.0,0,0,122.7,100.8,119.7,101.4,100.0,False
GJAH081919,2025-05-01,23581.75,13799.64,9782.11,13882.47,False,0.0,no_loan,0,0.0,True,FI001,0,0.0,0.0,9,Hitesh Chauhan Snacks Udyog,food_processing,Ahmedabad,Ahmedabad,7.7,0.54,9,False,0.0,0,0,88.4,82.6,103.3,106.9,113.3,False
GJAH081919,2025-06-01,22359.98,12770.02,9589.96,15555.93,False,0.0,no_loan,3,3028.39,False,FI001,0,0.0,0.0,10,Hitesh Chauhan Snacks Udyog,food_processing,Ahmedabad,Ahmedabad,7.7,0.54,9,False,0.0,0,0,73.1,84.6,101.3,104.7,113.5,False
